property_id,lat,lng,addr_street,suburb,lga,closest_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag,30_sep_cases,last_14_days_cases,last_30_days_cases,last_60_days_cases
73578,-37.85016,145.296742,35 Market Street,BORONIA,TOWONG,19869,1.57863,44,1,0,0,0,0
61617,-37.775309,145.245684,24 Wellington Park Drive,WARRANWOOD,MACEDON RANGES,19878,3.80192,42,1,1,1,1,0
85763,-37.887924,145.00145,6 McMillan Street,ELSTERNWICK,MORELAND,19954,0.35631,Not available,0,111,55,48,25
49983,-37.771787,145.100668,180 Manningham Road,BULLEEN,MARIBYRNONG,19935,3.88103,34,1,22,7,5,3
69929,-37.867511,145.088578,31 Gloucester Road,ASHBURTON,DAREBIN,19839,0.78867,Not available,0,41,22,15,8
36935,-37.645487,145.050035,17 Maiden Court,EPPING,FRANKSTON,45795,1.5529,54,1,3,3,2,1
27589,-37.573601,144.928253,7 Hoxton Crescent,CRAIGIEBURN,YARRA RANGES,40221,3.41056,41,1,5,3,2,1
49961,-37.771188,145.096912,17 Kathleen Grove,BULLEEN,MARIBYRNONG,19935,3.55413,34,1,22,7,5,3
67611,-37.770162,145.349641,6 Reece Court,LILYDALE,FRANKSTON,19876,1.63898,51,1,3,3,2,1
78095,-37.929081,145.153745,45 Wilma Avenue,MULGRAVE,MACEDON RANGES,19914,1.67675,33,1,1,1,1,0
24019,-37.705917,144.969147,15 Dowling Street,FAWKNER,MONASH,19961,1.07642,30,1,16,5,3,2
74059,-37.868008,145.28952,9 Daffodil Road,BORONIA,TOWONG,19869,0.95454,44,1,0,0,0,0
7563,-37.749408,144.76714,58 Concord Circuit,ALBANVALE,HEPBURN,20002,2.94068,28,1,-1,0,0,0
40503,-37.695466,145.070333,38 Trafalgar Crescent,BUNDOORA,WODONGA,19984,2.0927,42,1,3,0,0,0
1914,-37.805783,144.882514,19 Empress Avenue,KINGSVILLE,ALPINE,20023,0.50679,15,1,0,0,0,0
8004,-37.755415,144.751297,10 Lewis Avenue,BURNSIDE,MOYNE,20002,4.44905,28,1,0,0,0,0
